KodPP;DataOdczytu;Kierunek;H01;H02;H03;H04;H05;H06;H07;H08;H09;H10;H11;H12;H13;H14;H15;H16;H17;H18;H19;H20;H21;H22;H23;H24
590543520100010199;20230212;En.Czynna Pobrana;1,050;1,070;,900;,890;,950;1,210;1,090;1,440;1,710;,000;,000;,000;,020;,580;,300;1,640;2,080;3,330;2,190;,790;1,630;1,510;1,850;1,890
590543520100010199;20230213;En.Czynna Pobrana;1,550;,970;,930;,830;,870;1,070;1,240;,260;,210;,090;,010;,110;,480;1,150;,550;,470;,710;,750;,950;1,440;1,460;1,400;1,690;1,470
590543520100010199;20230214;En.Czynna Pobrana;1,240;,800;,290;,150;,170;,170;,510;,100;,180;,170;,010;,030;,020;1,420;2,880;,900;1,360;,750;1,060;1,670;1,600;2,290;2,740;1,860
590543520100010199;20230215;En.Czynna Pobrana;1,950;,940;,910;,860;,840;1,100;,920;,890;,310;,160;,000;,050;,090;,170;,160;,210;,960;1,410;1,160;1,450;,700;,700;1,150;,840
590543520100010199;20230216;En.Czynna Pobrana;,570;,720;,210;,210;,200;,200;,620;,230;,030;,010;,000;,000;,000;,070;,280;,270;,630;1,380;,950;,860;1,130;,830;,920;,920
590543520100010199;20230217;En.Czynna Pobrana;,780;1,050;,650;,560;,540;,880;,650;,390;,060;,180;,030;,120;,130;,410;1,010;,660;,970;1,100;1,200;1,070;1,080;,810;,730;,470
590543520100010199;20230218;En.Czynna Pobrana;,720;,610;,200;,150;,170;,190;,430;,120;,070;1,030;,600;,020;,000;,070;,550;,040;,290;,600;,430;,560;,600;,590;1,400;,550
590543520100010199;20230219;En.Czynna Pobrana;,830;,350;,340;,320;,810;,490;,570;1,980;1,160;,240;,070;,000;,030;,070;,230;,860;1,620;1,040;1,410;1,140;1,730;1,790;,960;1,470
590543520100010199;20230220;En.Czynna Pobrana;,870;,680;,610;,610;,600;,820;,760;,170;,030;,000;,120;,110;,180;,990;1,390;,830;1,270;1,290;,820;,570;,590;,640;1,060;,980
590543520100010199;20230221;En.Czynna Pobrana;1,610;,960;,960;,880;,900;1,260;,910;,510;,110;,120;,030;,000;,100;1,420;,930;,730;,910;1,110;1,120;1,150;,810;,910;1,510;1,300
590543520100010199;20230222;En.Czynna Pobrana;1,730;1,060;,960;,920;,920;1,290;,990;,470;,020;,080;,210;,600;,280;1,720;1,020;,590;,970;,960;1,030;1,340;1,040;,830;1,250;,870
590543520100010199;20230223;En.Czynna Pobrana;1,340;,670;,450;,390;,390;,630;,540;,300;,130;,000;,000;,000;,000;,010;,400;,630;,970;1,240;1,400;1,220;1,290;1,230;1,290;,860
590543520100010199;20230224;En.Czynna Pobrana;,710;,850;,290;,300;,420;,650;,440;,070;,370;,070;,260;,360;,380;,670;1,170;,700;,890;,690;,690;,580;,690;,640;,600;,790
590543520100010199;20230225;En.Czynna Pobrana;,390;,690;,110;,140;,140;,180;,270;,110;,180;,270;,000;,070;,180;,540;,630;,470;,390;,880;,740;1,590;1,110;1,100;1,180;,550
590543520100010199;20230226;En.Czynna Pobrana;,940;,380;,300;,270;,380;,390;,530;,410;,350;,280;,330;,890;,330;,570;,840;1,500;,960;1,120;1,380;1,400;,950;1,460;,940;1,160
590543520100010199;20230227;En.Czynna Pobrana;,480;,430;,310;,310;,300;,280;,310;,280;,010;,010;,070;,040;,080;1,980;,350;,450;,610;,670;,840;,850;,870;,900;1,440;,900
590543520100010199;20230228;En.Czynna Pobrana;1,210;,500;,330;,270;,320;,610;,310;,040;,000;,000;,080;,000;,060;,010;,040;,090;,790;,850;,800;1,320;1,510;1,300;1,690;,560
590543520100010199;20230301;En.Czynna Pobrana;,930;,180;,160;,220;,150;,480;,150;,110;,000;,000;,000;,080;,010;,110;,300;,630;1,240;1,290;1,180;1,290;1,080;,880;1,170;,550
590543520100010199;20230302;En.Czynna Pobrana;1,120;,630;,630;,630;,610;,620;,840;,710;,140;,110;,050;,170;,230;,800;1,910;,800;,900;1,010;1,380;1,900;1,830;,940;,520;,940
590543520100010199;20230303;En.Czynna Pobrana;,300;,770;,260;,200;,260;,520;,350;,130;,230;,050;,030;,050;,010;,010;,290;,200;,190;,890;1,050;1,330;1,090;1,010;,920;1,560
590543520100010199;20230304;En.Czynna Pobrana;,900;1,200;,670;,640;,670;,730;,890;,720;,440;1,210;,520;,640;,720;3,610;2,880;1,730;1,260;1,790;3,630;1,800;1,720;2,020;1,370;1,100
590543520100010199;20230305;En.Czynna Pobrana;1,200;,690;,740;,700;,740;,850;,730;,170;,000;,000;,000;,000;,090;,500;,290;,850;1,070;1,560;1,380;,730;,680;,750;1,200;1,320
590543520100010199;20230306;En.Czynna Pobrana;,980;,810;,810;,750;,810;,810;1,120;,700;,340;,480;,280;,050;,030;,470;,520;,580;,950;1,310;1,390;1,170;1,420;1,490;2,090;1,420
590543520100010199;20230307;En.Czynna Pobrana;1,300;,850;,770;,710;,720;1,060;,720;,740;,240;,430;,000;,040;,010;,730;,570;,240;,900;1,170;,950;,680;,520;,610;1,180;,800
590543520100010199;20230308;En.Czynna Pobrana;1,340;,940;,680;,710;,650;1,160;,660;,600;,680;,120;,010;,160;,180;,680;,170;,190;,820;1,100;1,020;1,650;1,110;1,060;1,410;,860
590543520100010199;20230309;En.Czynna Pobrana;1,400;,770;,760;,710;,780;,870;,870;1,190;,750;,710;,850;,980;1,030;1,770;2,270;1,370;1,510;1,150;1,020;1,290;1,360;1,400;1,900;1,100
590543520100010199;20230310;En.Czynna Pobrana;1,310;,640;,570;,520;,570;,970;,610;,690;,450;,510;,020;,110;,030;,430;,100;,080;,730;1,050;1,170;1,200;,950;,870;1,140;1,210
590543520100010199;20230311;En.Czynna Pobrana;,790;,710;,270;,250;,370;,390;,320;,420;,490;,300;,300;,570;,950;1,950;2,690;,700;,790;1,200;1,060;,990;1,080;,530;1,130;,510
590543520100010199;20230312;En.Czynna Pobrana;,870;,280;,250;,300;,240;,300;,520;,350;,440;,220;,210;,090;,020;,150;,020;,140;,610;,980;1,320;1,380;1,420;1,490;1,620;1,030
590543520100010199;20230313;En.Czynna Pobrana;1,350;,350;,400;,340;,340;,500;,470;,160;,340;,080;,000;,000;,000;,030;,120;,390;,450;,780;1,460;1,420;1,290;1,370;1,240;1,340
590543520100010199;20230314;En.Czynna Pobrana;,770;1,240;,720;,720;,770;,920;,410;,150;,060;,030;,000;,000;,000;1,090;,350;,520;,650;,740;,920;1,200;1,470;1,510;1,090;1,480
590543520100010199;20230315;En.Czynna Pobrana;,910;1,170;,680;,720;,750;,830;,770;,370;,350;,260;,000;,040;,060;,700;1,060;,030;,270;2,050;3,300;2,080;1,130;,930;1,130;,820
590543520100010199;20230316;En.Czynna Pobrana;,940;,760;,570;,550;,510;,820;,320;,080;,000;,000;,200;,060;,180;,170;,480;,570;,460;1,050;1,560;1,490;1,780;1,790;1,580;1,370
590543520100010199;20230317;En.Czynna Pobrana;,640;1,040;,520;,580;,530;,840;,390;,030;,040;,010;,000;,000;,000;,000;,160;,050;,140;,750;,910;,610;,870;,670;1,130;2,110
590543520100010199;20230318;En.Czynna Pobrana;,780;,680;,620;,550;,570;,880;,250;,000;,000;,000;,000;,000;,000;,000;,040;1,260;,650;,950;,490;,570;1,400;1,420;1,020;1,470
590543520100010199;20230319;En.Czynna Pobrana;,840;,610;,560;,540;,540;,640;,340;,070;,010;,000;,000;,000;,000;,000;,050;,000;,460;,190;,770;1,120;1,490;1,140;1,470;,940
590543520100010199;20230320;En.Czynna Pobrana;,860;,710;,560;,560;,490;,720;,250;,060;,020;,040;,000;,000;,000;,030;,150;,300;,610;,740;1,180;1,460;1,630;2,130;3,060;2,410
590543520100010199;20230321;En.Czynna Pobrana;1,980;1,120;1,060;1,070;1,060;1,050;,580;,310;,260;,170;,350;,200;,280;1,070;,300;,370;,510;,740;,350;,330;,500;,290;,860;,430
590543520100010199;20230322;En.Czynna Pobrana;,860;,350;,200;,190;,200;,500;,110;,090;,000;,000;,000;,000;,000;,040;,130;1,040;,070;,310;,530;,830;,420;,810;1,330;,780
590543520100010199;20230323;En.Czynna Pobrana;,900;,300;,210;,190;,300;,280;,320;,020;,010;,130;,010;,080;,000;,000;,810;,480;,610;,760;,560;1,150;,610;,450;,270;,840
590543520100010199;20230324;En.Czynna Pobrana;,310;,610;,220;,120;,150;,320;,390;,140;,060;,070;,000;,000;,020;,190;,560;,100;,380;,590;,640;,530;,660;,790;,850;1,360
590543520100010199;20230325;En.Czynna Pobrana;,640;,740;,160;,120;,240;,160;,130;,030;,010;,030;,010;,000;,300;,030;,060;,390;,260;,650;,560;,540;,950;,670;,880;,330
590543520100010199;20230326;En.Czynna Pobrana;,230;;;,160;,130;,130;,110;,440;,220;,900;,070;,030;,020;,010;,000;,020;,050;,400;,420;,320;,320;,370;1,040;,460
590543520100010199;20230327;En.Czynna Pobrana;,280;,190;,120;,110;,130;,110;,400;,290;,490;,700;,180;,030;,020;,970;,990;,130;,670;,910;1,600;1,860;1,860;1,620;2,180;1,220
590543520100010199;20230328;En.Czynna Pobrana;1,290;,380;,480;,310;,230;,700;,490;,080;,020;,000;,000;,000;,170;,020;,130;,100;,310;,410;,750;1,170;,530;,400;,780;1,040
590543520100010199;20230329;En.Czynna Pobrana;,490;,890;,510;,470;,460;,620;,420;,260;,020;,010;,000;,000;,000;,000;,000;,000;,010;,430;,940;1,000;,820;,740;,830;1,160
590543520100010199;20230330;En.Czynna Pobrana;,610;,920;,480;,540;,570;,620;,380;,530;,280;,020;,000;,000;,120;,140;,130;,170;,830;,820;,530;1,130;,830;,860;1,140;,780
590543520100010199;20230331;En.Czynna Pobrana;,960;,820;,560;,610;,620;,820;,590;,550;,090;,060;,200;,020;,000;,190;,760;,040;,090;,040;,500;,570;,620;,770;,890;,610
590543520100010199;20230401;En.Czynna Pobrana;,780;,660;,460;,430;,540;,500;,680;,280;,130;,000;,000;,010;,200;,620;,220;,990;,340;,680;,860;1,080;1,040;1,380;,910;1,230
590543520100010199;20230402;En.Czynna Pobrana;,690;,580;,540;,410;,540;,480;,900;,610;,690;,460;,690;,160;1,180;,560;,780;1,140;,440;,840;1,080;1,740;1,570;2,110;1,730;1,460
590543520100010199;20230403;En.Czynna Pobrana;,760;,730;,730;,650;,710;1,020;,870;,740;,720;,830;,730;,590;,450;,260;,330;,080;,020;,330;1,110;1,310;1,850;1,580;1,890;1,040
590543520100010199;20230404;En.Czynna Pobrana;1,440;,640;,680;,680;,660;,970;,710;,240;,160;,010;,000;,000;,000;,000;,080;,170;,070;,000;,330;1,820;1,500;,790;1,740;1,100
590543520100010199;20230405;En.Czynna Pobrana;1,470;,820;,810;,800;,850;1,130;1,010;,600;,090;,090;,090;,150;,060;,210;,370;,120;,070;,380;,890;1,130;1,030;1,170;1,380;,720
590543520100010199;20230406;En.Czynna Pobrana;1,090;,380;,450;,510;,440;,490;,530;,200;,400;,290;,600;,650;1,130;,950;1,620;1,450;1,050;,980;1,390;1,290;1,210;,750;,860;1,290
590543520100010199;20230407;En.Czynna Pobrana;,840;1,360;,840;,830;,730;,800;1,050;,690;,540;,790;,170;,450;,420;,510;,800;,230;,310;,430;,510;,690;1,260;,980;1,580;1,250
590543520100010199;20230408;En.Czynna Pobrana;1,560;,730;,720;,700;,700;,670;,660;,250;,210;,020;,000;,030;,060;,020;,180;,080;,320;,400;,750;1,740;1,800;1,520;2,250;1,520
590543520100010199;20230409;En.Czynna Pobrana;1,380;1,090;,800;,690;,690;,780;,810;,280;,090;,000;,000;,000;,020;,770;,420;,410;,110;,400;,650;1,580;2,020;2,110;1,600;2,210
590543520100010199;20230410;En.Czynna Pobrana;1,030;,750;,700;,690;,720;,770;,530;,390;,030;,010;,000;,000;,000;,000;,210;,440;,040;,440;,460;,850;,710;,660;1,050;1,120
590543520100010199;20230411;En.Czynna Pobrana;1,160;,740;,540;,510;,610;,550;,670;,020;,040;,030;,010;,000;,060;,100;,360;,430;,010;,190;,910;1,350;1,600;1,650;1,630;,920
590543520100010199;20230412;En.Czynna Pobrana;1,350;,750;,710;,740;,700;,670;,840;,320;,130;,020;,000;,020;,000;,000;,950;,000;,110;,090;,160;,370;1,060;1,130;1,730;,920
590543520100010199;20230413;En.Czynna Pobrana;1,280;,720;,720;,740;,700;,670;,580;,200;,040;,000;,000;,010;,000;,000;,000;,000;,000;,120;,380;,960;,690;,980;1,500;1,190
590543520100010199;20230414;En.Czynna Pobrana;1,270;,740;,680;,660;,700;,760;,620;,060;,000;,010;,000;,080;,140;,240;,210;,050;,020;,010;,410;,780;1,380;1,450;1,610;1,010
590543520100010199;20230415;En.Czynna Pobrana;1,280;,620;,630;,640;,650;,710;,710;,400;,170;,130;,060;,000;,030;1,100;,020;,170;,000;,010;,400;,990;,820;1,120;1,280;1,800
590543520100010199;20230416;En.Czynna Pobrana;,360;,260;,250;,240;,300;,590;,350;,090;,030;,000;,000;,000;,030;,100;,050;,000;,080;,090;,360;1,190;1,130;1,680;1,470;1,530
590543520100010199;20230417;En.Czynna Pobrana;,640;,370;,310;,310;,300;,490;,420;,080;,000;,010;,060;,110;,070;,840;,910;,300;,220;,470;,850;1,270;1,050;,680;,860;,560
590543520100010199;20230418;En.Czynna Pobrana;,620;,650;,290;,310;,310;,240;,430;,360;,010;,000;,010;,000;,020;,000;,200;,050;,000;,130;,560;,390;,780;,520;1,160;,620
590543520100010199;20230419;En.Czynna Pobrana;,900;,300;,300;,290;,290;,410;,550;,460;,320;,100;,020;,000;,000;,070;,120;,000;,000;,050;,080;,310;,540;1,040;1,480;,940
590543520100010199;20230420;En.Czynna Pobrana;,970;,280;,290;,350;,270;,230;,450;,120;,060;,000;,000;,380;,120;,480;,050;,030;,190;,310;,220;,490;,620;,400;1,430;1,010
590543520100010199;20230421;En.Czynna Pobrana;1,110;,540;,570;,540;,520;,540;,460;,010;,000;,000;,000;,000;,000;,000;,000;,000;,000;,130;,460;,840;1,280;1,120;1,610;1,130
590543520100010199;20230422;En.Czynna Pobrana;1,540;,430;,350;,340;,310;,290;,280;,000;,000;,000;,020;,000;,250;,190;,320;,010;,370;,790;,490;,870;,320;,430;,770;,600
590543520100010199;20230423;En.Czynna Pobrana;,450;,350;,310;,300;,340;,380;,240;,120;,010;,000;,000;,000;,000;,000;,000;,000;,000;,030;,130;,260;,460;,510;,610;,520
590543520100010199;20230424;En.Czynna Pobrana;,240;,160;,140;,110;,130;,180;,320;,030;,008;,023;,000;,000;,100;,040;,000;,000;,000;,000;,290;,500;,470;,290;,520;,310
590543520100010199;20230425;En.Czynna Pobrana;,160;,140;,120;,140;,120;,190;,150;,230;,160;,160;,050;,340;1,460;1,460;1,020;,370;,610;,540;,740;,810;,740;,630;,740;,330
590543520100010199;20230426;En.Czynna Pobrana;,760;,210;,110;,150;,130;,440;,340;,000;,200;,030;,030;,260;,010;,000;,350;,040;,060;,070;,090;,330;,540;,560;,960;,260
590543520100010199;20230427;En.Czynna Pobrana;,640;,140;,110;,110;,220;,290;,140;,020;,000;,000;,000;,030;,020;,250;,180;,050;,030;,040;,360;,410;,590;,450;,900;,380
590543520100010199;20230428;En.Czynna Pobrana;,730;,170;,220;,170;,140;,320;,210;,030;,000;,020;,000;,000;,000;,020;,090;,010;,010;,000;,030;,270;,600;,680;1,050;1,170
590543520100010199;20230429;En.Czynna Pobrana;,460;,780;,190;,140;,180;,050;,060;,100;,000;,000;,000;,000;,000;,000;,000;,080;,070;,240;,370;1,400;,440;,410;,860;,450
590543520100010199;20230430;En.Czynna Pobrana;,680;,160;,220;,190;,130;,390;,190;,040;,040;,020;,090;,170;,320;,000;,000;,020;,000;,040;,620;,160;,120;,360;,440;,300
